t,phi1,phi2,phi3,phi4,phi5,phi6,w1,w2,w3,v1,v2,v3,vd_w1,vd_w2,vd_w3,vd_v1,vd_v2,vd_v3,upri1,upri2,upri3,upri4,upri5,upri6,upri7,ufin1,ufin2,ufin3,ufin4,ufin5,ufin6,ufin7
4.343005,-0.014482,-0.086607,-0.007385,0.074009,-0.034632,-0.098244,0.414850,1.738614,0.207298,0.871415,-0.197453,-0.599865,0.000000,0.000000,0.000000,-0.013625,0.150180,0.020000,10.500183,24.619052,9.004279,82.522796,2.403361,4.573580,-0.034224,10.500183,24.619052,9.004279,82.522796,2.402361,4.572580,-0.033224
4.428168,-0.014989,-0.088552,-0.007566,0.073219,-0.035196,-0.097585,0.506914,1.944724,0.183844,0.908731,-0.253534,-0.592146,0.000000,0.000000,0.000000,-0.013908,0.150154,0.020000,4.926136,23.400342,3.323061,83.138768,1.687402,3.227107,0.088103,4.925136,23.400342,3.322061,83.138768,1.686402,3.228107,0.087103
4.508155,-0.015561,-0.090623,-0.007815,0.072406,-0.035771,-0.096919,0.570085,2.070345,0.253829,0.938370,-0.253006,-0.588246,0.000000,0.000000,0.000000,-0.014191,0.150127,0.020000,8.638042,21.699762,7.077218,83.057822,1.612181,2.258664,0.042869,8.638042,21.699762,7.077218,83.057822,1.611181,2.259664,0.041869
4.587542,-0.016188,-0.092818,-0.008105,0.071574,-0.036346,-0.096254,0.624455,2.194096,0.295268,0.964501,-0.261133,-0.577841,0.000000,0.000000,0.000000,-0.014474,0.150100,0.020000,9.598368,20.069903,8.025522,83.639647,1.493238,1.398069,0.035387,9.597368,20.069903,8.024522,83.639647,1.492238,1.399069,0.034387
4.670274,-0.016756,-0.094781,-0.008387,0.070732,-0.036936,-0.095586,0.563268,1.962692,0.290374,0.949790,-0.237290,-0.600614,0.000000,0.000000,0.000000,-0.014757,0.150073,0.020000,11.658509,17.247187,10.181860,79.621662,1.807333,1.923253,-0.027147,11.658509,17.247187,10.181860,79.621662,1.806333,1.924253,-0.026147
4.751372,-0.017384,-0.096875,-0.008626,0.069874,-0.037469,-0.094924,0.626874,2.092784,0.249535,0.977122,-0.297159,-0.585356,0.000000,0.000000,0.000000,-0.015040,0.150045,0.020000,5.864503,15.276790,4.355802,80.737950,1.164067,1.063357,0.097622,5.864503,15.276790,4.355802,80.737950,1.163067,1.064357,0.096622
4.830543,-0.018049,-0.099017,-0.008927,0.068997,-0.038014,-0.094268,0.660735,2.141532,0.312396,0.995387,-0.291425,-0.574778,0.000000,0.000000,0.000000,-0.015323,0.150016,0.020000,8.853580,13.077356,7.352480,81.050983,1.210746,0.587225,0.036324,8.853580,13.077356,7.352480,81.050983,1.209746,0.588225,0.035324
4.917211,-0.018754,-0.101228,-0.009251,0.068107,-0.038557,-0.093622,0.699763,2.210348,0.337642,1.010916,-0.298405,-0.560268,0.000000,0.000000,0.000000,-0.015605,0.149987,0.020000,9.608285,11.313408,8.085755,81.927978,1.136090,0.104157,0.032845,9.608285,11.313408,8.085755,81.927978,1.137090,0.105157,0.031845
5.004123,-0.019494,-0.103481,-0.009578,0.067201,-0.039083,-0.092979,0.734710,2.252344,0.343609,1.027617,-0.318069,-0.554875,0.000000,0.000000,0.000000,-0.015888,0.149957,0.020000,8.662305,9.166309,7.154762,81.707140,0.908509,-0.418919,0.054331,8.662305,9.166309,7.154762,81.707140,0.909509,-0.417919,0.053331
5.084008,-0.020256,-0.105776,-0.009937,0.066285,-0.039613,-0.092347,0.755353,2.294083,0.375754,1.036196,-0.316910,-0.540546,0.000000,0.000000,0.000000,-0.016171,0.149927,0.020000,9.924024,7.576096,8.382451,82.537313,0.970738,-0.723895,0.029043,9.924024,7.576096,8.382451,82.537313,0.971738,-0.722895,0.028043
